speaker,minute,text,event,id
Donald Trump,26:16:00,That’s true.,1st Presidential Debate 2020,i99SalIgYS
Chris Wallace,26:16:00,"My question for the two of you, is why should voters trust you rather than your opponent to deal with the race issues facing this country over the next four years? Vice President Biden, you go first.",1st Presidential Debate 2020,BdXQGh7S3h
Joe Biden,26:29:00,"It’s about equity and equality. It’s about decency. It’s about the constitution. And we have never walked away from trying to require equity for everyone, equality for the whole of America. But we’ve never accomplished it, but we’ve never walked away from it like he has done. It is true, the reason I got in the race is when those people… Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, just spewing anti-Semitic bile and accompanied by the Ku Klux Klan. A young woman got killed and they asked the president what he thought. He said, “There were very fine people on both sides.” No president’s ever said anything like that. [crosstalk 00:27:10].",1st Presidential Debate 2020,VFIjrYLqcS
Chris Wallace,27:11:00,It is his-,1st Presidential Debate 2020,qVJByNHd8C
Joe Biden,27:12:00,Now-,1st Presidential Debate 2020,ikKSScXqGN
Chris Wallace,27:12:00,… minute sir.,1st Presidential Debate 2020,Ax2PWVVRDS
Joe Biden,27:13:00,"… second point I’d make to you, is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House. What did he do? He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible. And then what happened after that? The Bishop of that very church said that it was a disgrace. The general who was with him said all he ever wants to do is divide people, not unite people at all. This is a president who has used everything as a dog whistle, to try to generate racists hatred, racist division.",1st Presidential Debate 2020,534o883WJJ
Joe Biden,27:50:00,"This is a man who, in fact, you talk about helping African-Americans, one in 1000 African Americans has been killed because of the coronavirus. And if he doesn’t do something quickly, by the end of the year, one in 500 will have been killed. One in 500 African Americans. This man is as a savior of African-Americans? This man cares at all? This man’s done virtually nothing. Look, the fact is that you have to look at what he talks about. You have to look at what he did. And what he did has been disastrous for the African-American community.",1st Presidential Debate 2020,WXnse358YR
Donald Trump,28:27:00,So-,1st Presidential Debate 2020,YttABekJAV
Chris Wallace,28:28:00,"President Trump, you have two minutes. Why should Americans trust you over your opponent to deal race issues?",1st Presidential Debate 2020,MkuLvAsrfw
Donald Trump,28:34:00,"You did a crime bill, 1994, where you call them super predators. African-Americans are super predators and they’ve never forgotten it. They’ve never forgotten it.",1st Presidential Debate 2020,kFILCbnAj9
Joe Biden,28:43:00,I’ve never said-,1st Presidential Debate 2020,sgRfwtoro7
Chris Wallace,28:44:00,"No, no, sir. It’s his two minutes.",1st Presidential Debate 2020,DWwAD7uANO
Donald Trump,28:45:00,"So you did that and they call you a super predator and I’m letting people out of jail now, that you have treated the African-American population community, you have treated the black community about as bad as anybody in this country. You did the 1990… And that’s why, if you look at the polls, I’m doing better than any Republican has done in a long time, because they saw what you did. You call them super predators, and you’ve called them worse than that. Because you look back at your testimony over the years, you’ve called them a lot worse than that. As far as the church is concerned and as far as the generals are concerned, we just got the support of 250 military leaders and generals, total support. Law enforcement, almost every law enforcement group in the United States. I have Florida. I have Texas. I have Ohio. I have every… Excuse me, Portland, the sheriff just came out today and he said, “I support President Trump.”",1st Presidential Debate 2020,A9T6wZQ72x
Donald Trump,29:39:00,"I don’t think you have any law enforcement. You can’t even say the word law enforcement. Because if you say those words, you’re going to lose all of your radical left supporters. And why aren’t you saying those words, Joe? Why don’t you say the words law enforcement? Because you know what? If called us in Portland, we would put out that fire in a half an hour. But they won’t do it, because they’re run by radical left Democrats. If you look at Chicago, if you look at any place you want to look, Seattle, they heard we were coming in the following day and they put up their hands and we got back Seattle. Minneapolis, we got it back, Joe, because we believe in law and order, but you don’t. The top 10 cities and just about the top 40 cities are run by Democrats, and in many cases radical left. And they’ve got you wrapped around their finger, Joe, to a point where you don’t want to say anything about law and order. And I’ll tell you what, the people of this country want and demand law and order and you’re afraid to even say it.",1st Presidential Debate 2020,EBtpZcmzEA
Chris Wallace,30:35:00,"All right. I want to return to the question of race. Vice President Biden, after the grand jury in the Breonna Taylor case decided not to charge any of the police with homicide, you said it raises the question, “Whether justice could be equally applied in America.” Do you believe that there is a separate but unequal system of justice for Blacks in this country?",1st Presidential Debate 2020,ahV2Gx5fBd
Joe Biden,30:59:00,"Yes, there is. There’s systemic injustice in this country, in education and work and in law enforcement and the way in which it’s enforced. But look, the vast majority of police officers are good, decent, honorable men and women. They risk their lives every day to take care of us, but there are some bad apples. And when they occur, when they find them, they have to be sorted out. They have to be held accountable. They have to be held accountable. And what I’m going to do as President of the United States is call together an entire group of people at the White House, everything from the civil rights groups, to the police officers, to the police chiefs, and we’re going to work this out.",1st Presidential Debate 2020,3SGg1cKmYa
Joe Biden,31:38:00,"We’re going to work this out. So we changed the way in which we have more transparency, in when these things happen. These cops aren’t happy to see what happened to George Floyd. These cops aren’t happy to see what happened to Breonna Taylor. Most don’t like it, but we have to have a system where people are held accountable when… And by the way, violence in response is never appropriate, never appropriate. Peaceful protest is, violence is never appropriate.",1st Presidential Debate 2020,luXKozpVpT
Chris Wallace,32:04:00,"All right, Mr.-",1st Presidential Debate 2020,0ei8oWPg3y
Donald Trump,32:05:00,What is peaceful protest? When they run through the middle of the town-,1st Presidential Debate 2020,jH7y4BeJ1W
Chris Wallace,32:08:00,President Trump-,1st Presidential Debate 2020,iUZlSzIjxG
Donald Trump,32:09:00,… and burn down your stores and kill people all over the place- [crosstalk 00:32:14].,1st Presidential Debate 2020,ImSsvyBZiO
Joe Biden,32:11:00,That is not peaceful protest.,1st Presidential Debate 2020,9U0OGpgGd1
Donald Trump,32:13:00,"No it’s not, but you say it is.",1st Presidential Debate 2020,XbzHltrFrG
Chris Wallace,32:15:00,"President Trump, I’d like to continue with the issue of race. I promise we’re going to get to the issue of law and order in a moment.",1st Presidential Debate 2020,t0CoTSUzsK
Donald Trump,32:21:00,Fine.,1st Presidential Debate 2020,DLwnuaQDo5
Chris Wallace,32:21:00,"This month, your administration directed federal agencies to end racial sensitivity training that addresses white privilege or critical race theory. Why did you decide to do that, to end racial sensitivity training? And do you believe that there is systemic racism in this country, sir?",1st Presidential Debate 2020,wNPhUp4923
Donald Trump,32:42:00,"I ended it because it’s racist. I ended it because a lot of people were complaining that they were asked to do things that were absolutely insane. That it a radical revolution that was taking place in our military, in our schools, all over the place. And you know it, and so does everybody else. And he would know it- [crosstalk 00:33:02]",1st Presidential Debate 2020,cqLQ1nsdzw
Chris Wallace,33:02:00,What is radical about racial sensitivity training?,1st Presidential Debate 2020,TE8ZyVO6eN
Donald Trump,33:05:00,"If you were a certain person, you had no status in life. It was sort of a reversal. And if you look at the people, we were paying people hundreds of thousands of dollars to teach very bad ideas and frankly, very sick ideas. And really, they were teaching people to hate our country And I’m not going to do that. I’m not going to allow that to happen. We have to go back to the core values of this country. They were teaching people that our country is a horrible place. It’s a racist place. And they were teaching people to hate our country. And I’m not going to allow that to happen.",1st Presidential Debate 2020,ADqeD6scb4
Chris Wallace,33:38:00,Vice President Biden.,1st Presidential Debate 2020,BbfyJUHeS1
Joe Biden,33:39:00,Nobody’s doing that. He’s the racist.,1st Presidential Debate 2020,OtleMr1Ub9
Donald Trump,33:42:00,You just don’t know.,1st Presidential Debate 2020,lUayAFGQ9s
Joe Biden,33:43:00,Here’s the deal. I know a lot more about this- [crosstalk 00:15:43].,1st Presidential Debate 2020,yDbDwBBVfi
Chris Wallace,33:45:00,Let him finish.,1st Presidential Debate 2020,rIn6ONpNQI
Joe Biden,33:47:00,"The fact is that there is racial insensitivity. People have to be made aware of what other people feel like, what insults them, what is demeaning to them. It’s important people know. Many people don’t want to hurt other people’s feelings, but it makes a big difference. It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem. It’s a little bit like how this guy and his friends look down on so many people. They look down their nose on people like Irish Catholics, like me, who grow up in Scranton. They look down on people who don’t have money. They look down on people who are of a different faith. They looked down on people who are a different color. In fact, we’re all Americans. The only way we’re going to bring this country together is bring everybody together. There’s nothing we cannot do, if we do it together. We can take this on and we can defeat racism in American.",1st Presidential Debate 2020,blkN8Erk45
Chris Wallace,34:41:00,"Vice President… I mean, President Trump, sir.",1st Presidential Debate 2020,9wsuoMdjnP
Donald Trump,34:43:00,"During the Obama-Biden administration, there was tremendous division. There was hatred. You look at Ferguson, you look at, or you go to very… Many places, look at Oakland. Look what happened in Oakland. Look what happened in Baltimore. Look what happened… Frankly, it was more violent than what I’m even seeing now.",1st Presidential Debate 2020,pmfsJ0hh6J
Joe Biden,35:01:00,Oh my Lord.,1st Presidential Debate 2020,1PPxaem0V2
Donald Trump,35:01:00,But the reason-,1st Presidential Debate 2020,DfATtVLVOo
Joe Biden,35:02:00,This is ridiculous.,1st Presidential Debate 2020,1hDCJyFDJp
Donald Trump,35:03:00,… is that the Democrats that run these cities-,1st Presidential Debate 2020,OfHXkqv3nv
Joe Biden,35:05:00,Absolutely ridiculous.,1st Presidential Debate 2020,9xCjWksNM1
Donald Trump,35:06:00,"… don’t want to talk, like you, about law and order.",1st Presidential Debate 2020,oTRNd2otUF
Joe Biden,35:08:00,Violent crime-,1st Presidential Debate 2020,KopJ6VtGvb
Donald Trump,35:09:00,And you still haven’t mentioned. Are you in favor of law and order?,1st Presidential Debate 2020,jpepP78WAS
Joe Biden,35:12:00,I’m in favor of law. You- [crosstalk 00:35:15].,1st Presidential Debate 2020,lQtMVkYs14
Donald Trump,35:14:00,Are you in favor of law and order? [crosstalk 00:35:17],1st Presidential Debate 2020,izsgCddjPf
Chris Wallace,35:16:00,"You asked a question, let him finish. [crosstalk 00:35:18] Let him answer.",1st Presidential Debate 2020,T1TQVm6duD
Joe Biden,35:20:00,"Law and order with justice, where people get treated fairly.",1st Presidential Debate 2020,zOU3WElSFj
Donald Trump,35:23:00,Okay.,1st Presidential Debate 2020,SJ3cR3JHip
Joe Biden,35:24:00,"And the fact of the matter is, violent crime went down 17%, 15% in our administration. It’s gone up on his watch.",1st Presidential Debate 2020,gX3KVzTJiW
Donald Trump,35:31:00,It went down much more in ours.,1st Presidential Debate 2020,lkCQFkBTHI
Chris Wallace,35:33:00,"All right, we’re done- [crosstalk 00:35:35] Mr. President, you’re going to be very happy because we’re now going to talk about law and order.",1st Presidential Debate 2020,JPPoKirsZg
Donald Trump,35:41:00,The places we had trouble were democratic run cities-,1st Presidential Debate 2020,Tg4gZESoUL
Chris Wallace,35:44:00,"That’s exactly my question. There has been a dramatic increase in homicides in America this summer particularly, and you often blame that on democratic mayors and democratic governors. But in fact, there have been equivalent spikes in Republican led cities, like Tulsa and Fort Worth. So the question is, is this really a…",1st Presidential Debate 2020,2uR0l3Mp4k
Chris Wallace,36:03:00,"It’s like Tulsa and Fort worth. So the question is, is this really a party issue?",1st Presidential Debate 2020,DRrRixMiz0
Donald Trump,36:05:00,"I think as a party issue, you can bring in a couple of examples but if you look at Chicago, what’s going on in Chicago where a 53 people were shot and eight died shot, if you look at New York where it’s going up, like nobody’s ever seen anything. The numbers are going up a 100%, 150%, 200% crime, it is crazy what’s going on and he doesn’t want to say law and order because he can’t because he’ll lose his radical left supporters and once he does that, it’s over with. But if he ever got to run this country and they ran it the way he would want to run it, we would have by the way our suburbs would be gone. And you would see problems like you’ve never seen before.",1st Presidential Debate 2020,olFjmtsMoN
Joe Biden,36:45:00,He wouldn’t know a suburb unless you took a wrong turn.,1st Presidential Debate 2020,DowoTvf0QR
Donald Trump,36:47:00,"Oh, I know suburbs so much that you.",1st Presidential Debate 2020,qDokkSo193
Chris Wallace,36:48:00,Gentlemen wait a minute.,1st Presidential Debate 2020,P6BaAcZMW1
Joe Biden,36:50:00,"I was raised in the suburbs. This is not 1950. All these dog whistles and racism don’t work anymore. Suburbs are by and large integrated. There’s many people today driving their kids to soccer practice and/or black and white and Hispanic in the same car as there have been any time in the past, what really is a threat to the suburbs and their safety is his failure to deal with COVID. They’re dying in the suburbs. His failure to deal with the environment, they’re being flooded, they’re being burned out because his refusal to do anything. That’s why the suburbs are in trouble.",1st Presidential Debate 2020,wiUPAz59dF
Chris Wallace,37:23:00,"I do want to talk about this issue of law and order though. And in the joint recommendation that came from the Biden-Bernie Sanders task force, you talked about quote re-imagining policing. First of all, what does re-imagining policing mean and do you support? If I might finish the question, what does re-imagining policing mean and do you support the Black Lives Matter call for community control of policing?",1st Presidential Debate 2020,ezNUHTakTs
Joe Biden,37:54:00,"Look, what I support are the police having the opportunity to deal with the problems they face and I’m totally opposed to defunding the police offices. As a matter of fact police, local police, the only one defunding in his budget calls for a $400 million cut in local law enforcement assistance. They need more assistance. They need when they show up for a 9-11 call to have someone with them as a psychologist or psychiatrist to keep them from having to use force and be able to talk people down. We have to have community policing like we had before where the officers get to know the people in the communities. That’s when crime went down, it didn’t go up. It went down. And so we have to be…",1st Presidential Debate 2020,YVfPEBMoLb
Donald Trump,38:35:00,That’s not what they are talking about this. That’s not what it is about. He’s talking about defunding the police.,1st Presidential Debate 2020,frj6sP1fbs
Joe Biden,38:39:00,That is not true.,1st Presidential Debate 2020,2Omo4oDDKZ
Donald Trump,38:40:00,He doesn’t have any law support. He has no law enforcement.,1st Presidential Debate 2020,FteI4ealbE
Joe Biden,38:45:00,That’s not true.,1st Presidential Debate 2020,uSa5WanSsQ
Donald Trump,38:45:00,"He has almost nothing. Oh, really, who do you have name one group that supports you name one group that came out and supported you. Go ahead. Think we have time.",1st Presidential Debate 2020,bN9YdGyYse
Joe Biden,38:54:00,We don’t have time to do anything.,1st Presidential Debate 2020,UKKWFvczGh
Donald Trump,38:55:00,"No, no think right now. Name one law enforcement group that came out in support of you.",1st Presidential Debate 2020,EVvDKu2oMA
Chris Wallace,39:00:00,"Now, gentleman. I think I’m going to tell I’m going to take back the bottom line.",1st Presidential Debate 2020,jiajTgdJI1
Donald Trump,39:03:00,There aren’t any.,1st Presidential Debate 2020,KsxNPNJQTE
Chris Wallace,39:04:00,"And I want to get to another subject, which is the issue of protests in many cities that have turned violent in Portland, Oregon, especially we had more than a 100 straight days of protests, which I think you would agree, you talk about peaceful protests. Many of those turned into riots. Mr. Vice-president you say that people who commit crimes should be held accountable. The question I have though is as the democratic nominee, and earlier tonight, you said that you are the Democratic Party right now, have you ever called the Democratic Mayor of Portland or the Democratic Governor of Oregon and said, “Hey, you got to stop this, bring in the National Guard, do whatever it takes, but you’d stop the days and months of violence in Portland.”",1st Presidential Debate 2020,0jaJXCuUY6
Joe Biden,39:50:00,I don’t hold public office. Now I am a former vice president. I’ve made it clear. I’ve made it clear in my public statements that the violence should be prosecuted. It should be prosecuted and anyone who committed it should be prosecuted.,1st Presidential Debate 2020,m97l1hREyn
Chris Wallace,40:02:00,But you’ve never called for the people…,1st Presidential Debate 2020,lHL19lROsh
Donald Trump,40:02:00,He’s never done that.,1st Presidential Debate 2020,Zck4MIRGw6
Chris Wallace,40:02:00,"Excuse me, sir. You had never called for the leaders in Portland and in Oregon to call and bring in the National Guard and knock off a 100 days of riots.",1st Presidential Debate 2020,60V4xQdZQt
Joe Biden,40:15:00,They can in fact take care of it if he just stay out of the way.,1st Presidential Debate 2020,NFmvJFrYbG
Donald Trump,40:19:00,Oh really? I sent in the US Marshalls to get the killer of a young man in the middle of the street and they shot him for three days Portland didn’t do anything. I sent in the US Marshals they took care of business.,1st Presidential Debate 2020,gA88EaBLjn
Chris Wallace,40:33:00,Go ahead sir.,1st Presidential Debate 2020,3rKHIluTy6
Joe Biden,40:34:00,"And by the way his own former spokesperson said, “Riots and chaos and violence help he cause.” That’s what this is all about.",1st Presidential Debate 2020,24L7XU0MGU
Donald Trump,40:43:00,I don’t know who said that.,1st Presidential Debate 2020,mTuPlYPdaL
Joe Biden,40:44:00,I do.,1st Presidential Debate 2020,2beHaWH00K
Donald Trump,40:45:00,Who?,1st Presidential Debate 2020,6VMpwgqWZl
Joe Biden,40:46:00,I think Kellyanne Conway.,1st Presidential Debate 2020,pjWbkdRXH3
Donald Trump,40:48:00,I don’t think she said that.,1st Presidential Debate 2020,xBdIewAXnz
Joe Biden,40:48:00,She said that.,1st Presidential Debate 2020,bXmZXvouxQ
Donald Trump,40:49:00,I don’t think so.,1st Presidential Debate 2020,75sfEyp8up
Joe Biden,40:50:00,"Here’s the point, the point is that that’s why he keeps trying to rile everything up. He doesn’t want to calm things down instead of going in and talking to people and saying, “Let’s get everybody together. Figure out how to deal with this.” What’s he do? He just pours gasoline in the fire constantly and every single solitary time.",1st Presidential Debate 2020,EhaSgDqg0i
Chris Wallace,41:10:00,"Okay. And to end this, button up this segment I’m going to give you a minute to answer, sir. You have repeatedly criticized…",1st Presidential Debate 2020,aaVH4efFaU
Donald Trump,41:16:00,Does it mean I have to answer his stuff.,1st Presidential Debate 2020,XEpPEklTUW
Chris Wallace,41:17:00,You have repeatedly…,1st Presidential Debate 2020,GO4jkxYVCj
Donald Trump,41:18:00,"Wait a second, you have made a statement.",1st Presidential Debate 2020,Rdv5Jdo9F9
Chris Wallace,41:19:00,You’ve been talking back and forth. I’m asking you.,1st Presidential Debate 2020,eGYIwDzxX7
Donald Trump,41:22:00,I would love to end it.,1st Presidential Debate 2020,oR7QIaXt8Y
Chris Wallace,41:24:00,You know sir if you want to switch seats we could very quickly can do that.,1st Presidential Debate 2020,4GavGbWMQI
Donald Trump,41:28:00,"I’ll send in the National Guard, it would be over. That’d be no problem. But I don’t want to accept the National Guard.",1st Presidential Debate 2020,lcMNjyT3f6
Chris Wallace,41:33:00,You have repeatedly criticized the vice president for not specifically calling out Antifa and other left wing extremist groups. But are you willing tonight to condemn white supremacists and militia group and to say that they need to stand down and not add to the violence in a number of these cities as we saw in Kenosha and as we’ve seen in Portland.,1st Presidential Debate 2020,k1xSH30xYq
Donald Trump,41:57:00,"Sure, I’m will to do that.",1st Presidential Debate 2020,LE1L7myh7k
Chris Wallace,41:59:00,Are you prepared specifically to do it.,1st Presidential Debate 2020,R2ruswsB12
Donald Trump,42:00:00,I would say almost everything I see is from the left wing not from the right wing.,1st Presidential Debate 2020,aoGyTYQVnb
Chris Wallace,42:04:00,But what are you saying?,1st Presidential Debate 2020,eKkE94WSvV
Donald Trump,42:06:00,I’m willing to do anything. I want to see peace.,1st Presidential Debate 2020,5nAJZdhvHG
Chris Wallace,42:08:00,"Well, do it, sir.",1st Presidential Debate 2020,uXHFKirueZ
Joe Biden,42:09:00,"Say it, do it say it.",1st Presidential Debate 2020,VIS9horjN3
Donald Trump,42:10:00,"What do you want to call them? Give me a name, give me a name, go ahead who do you want me to condemn.",1st Presidential Debate 2020,1mi5l4X8DM
Chris Wallace,42:14:00,White supremacist and right-wing militia.,1st Presidential Debate 2020,N6p4vbcPPX
Donald Trump,42:18:00,"Proud Boys, stand back and stand by. But I’ll tell you what somebody’s got to do something about Antifa and the left because this is not a right wing problem this is a left wing.",1st Presidential Debate 2020,6mMeR8gblU
Joe Biden,42:28:00,"He’s own FBI Director said unlike white supremacist, Antifa is an idea not an organization-",1st Presidential Debate 2020,nEWaU91UHC
Donald Trump,42:35:00,Oh you got to be kidding me.,1st Presidential Debate 2020,9GQEXJA1v3
Joe Biden,42:36:00,… not a militia. That’s what his FBI Director said.,1st Presidential Debate 2020,Djr43nOgoS
Donald Trump,42:41:00,"Well, then you know what, he’s wrong.",1st Presidential Debate 2020,AdjDBsmpKP
Chris Wallace,42:42:00,"We’re done, sir. Moving onto the next… [crosstalk 00:42:46]",1st Presidential Debate 2020,ENveg2UwlC
Donald Trump,42:46:00,Antifa is bad.,1st Presidential Debate 2020,A32sGZDQEA
Joe Biden,42:47:00,"Every body in your administration tells you the true, it’s a bad idea. You have no idea about anything.",1st Presidential Debate 2020,oy5OaMMtot
Donald Trump,42:53:00,"You know what, Antifa is a dangerous radical group.",1st Presidential Debate 2020,F3hh53rnnR
Chris Wallace,42:56:00,"All right, gentlemen we’re now moving onto the Trump-Biden record.",1st Presidential Debate 2020,Lf9kemZVHm
Donald Trump,42:58:00,"And you ought to be careful of them, they’ll over throw you.",1st Presidential Debate 2020,eFaRsFgs48
Chris Wallace,43:00:00,"I’m going to ask a question. When the president seeks a second term, it is generally a referendum on his record but vice president Biden, you’d like to quote one of your dad’s sayings, which is don’t compare me to the almighty, compare me to the alternative. And in this case sir you are the alternative. Looking at both of your records, I’m going to ask each of you. Why should voters elect you president over your opponent in this segment, President Trump you’ll go first, two minutes.",1st Presidential Debate 2020,ZE4lFlDgdi
Donald Trump,43:30:00,"Because there is never been an administration or president who has done more than I’ve done in a period of three and a half years. And that’s despite the impeachment hoax and you so what happened today with Hillary Clinton, where it was a whole big con job. But despite going through all of these things where I had a fight, both flanks and behind me and above there has never been an administration that’s done what I’ve done. The greatest, before COVID came in the greatest economy in history, lowest unemployment numbers, everything was good. Everything was going.",1st Presidential Debate 2020,SHJeO2mCmd
Donald Trump,44:03:00,"And by the way, there was unity going to happen. People were calling me for the first time in years, they were calling and they were saying it’s time maybe and then what happened? We got hit. But now we’re building it back up again. A rebuilding of the military, including Space Force and all of the other things. A fixing of the VA which was a mess under him, 308,000 people died because they didn’t have proper health care. It was a mess. And we now got a 91% approval rating at the VA, our vets. We take care of our vets. But we’ve rebuilt our military. And I’ll tell you something, some people say maybe the most important by the end of the first term I’ll have approximately 300 Federal judges and Court of Appeals judges, 300 and hopefully three great Supreme Court judges, justices that is a record the likes of which very few people and one of the reasons I’ll have so many judges because President Obama and him left me 128 judges to fill.",1st Presidential Debate 2020,vTW0arN5SE
Donald Trump,45:05:00,"When you leave office, you don’t leave any judges. That’s like, you just don’t do that. They left 128 openings and if I were a member of his party, because they have a little different philosophy, I’d say, if you left us 128 openings you can’t be a good president. You can’t be a good vice president but I want to thank you because it gives us almost, it’ll probably be above that number. By the end of this term, 300 judges. It’s a record.",1st Presidential Debate 2020,bWSQGif2E8
Chris Wallace,45:34:00,"Looking at both of your records. Why should voters elect you President as opposed to president Trump, you have two minutes uninterrupted.",1st Presidential Debate 2020,8dBNys6SCP
Joe Biden,45:42:00,"Under this president, we become weaker, sicker, poor, more divided and more violent. When I was vice president, we inherited a recession. I was asked to fix it. I did. We left him a booming economy and he caused the recession. With regard to being weaker, the fact is that I’ve gone head to head with Putin and made it clear to him we’re not going to take any of his stuff. He’s Putin’s puppy. He still refuses to even say anything to Putin about the bounty on the heads of American soldiers.",1st Presidential Debate 2020,XW9Etk0bZp
Donald Trump,46:14:00,You son got three and a half million dollars.,1st Presidential Debate 2020,D9oqx9jGU0
Joe Biden,46:17:00,"By the way, my son…",1st Presidential Debate 2020,psySzHLvFT
Chris Wallace,46:19:00,"Wait a minute. Mr. President, your campaign agreed to both sides would get two minute answers, uninterrupted. Well, you’re a side agreed to it and why don’t you observe what your campaign agreed to as a ground rule. Okay, sir?",1st Presidential Debate 2020,ApbUYry09W
Joe Biden,46:33:00,He never keeps his word.,1st Presidential Debate 2020,4yUJNtTXrX
Chris Wallace,46:34:00,"No, that was a rhetorical question.",1st Presidential Debate 2020,DB0u3WISr4
Joe Biden,46:37:00,Can you get back 30 seconds?,1st Presidential Debate 2020,sKVH1JRwPx
Chris Wallace,46:39:00,"Yes. You may have, go ahead.",1st Presidential Debate 2020,c8WclkaSSl
Joe Biden,46:42:00,"So thirdly, we’re poor. The billionaires have gotten much more wealthy by a tune of over $3- $400 billion more just since COVID. You in the home, you got less you’re in more trouble than you were before. In terms of being more violent. When we were in office there were 15% less violence in America than there is today. He’s President United States. It’s on his watch. And with regard to more divided the nation, it can’t stay divided. We can’t be this way. And speaking of my son, the way you talk about the military, the way you talk about them being losers and being and just being suckers. My son was in Iraq. He spent a year there. He got the Brown Star. He got the Conspicuous Service Medal. He was not a loser. He was a Patriot and the people left behind there were heroes.",1st Presidential Debate 2020,hBgWCIosU0
Donald Trump,47:39:00,Really?,1st Presidential Debate 2020,doPnWVU0wi
Joe Biden,47:39:00,And I resent-,1st Presidential Debate 2020,BDYgCq1Q4T
Donald Trump,47:40:00,"Are you talking Hunter, are you talking about Hunter.",1st Presidential Debate 2020,BTQHQT2wDS
Joe Biden,47:42:00,"I’m talking about my son, Beau Biden, you’re talking about Hunter?",1st Presidential Debate 2020,T4c0OiIc0x
Donald Trump,47:44:00,I don’t know Beau. I know Hunter. Hunter got thrown out of the military. He was thrown out dishonorably discharged.,1st Presidential Debate 2020,zzdEJpgzLQ
Joe Biden,47:51:00,That’s not true he was not dishonorably discharged.,1st Presidential Debate 2020,pkyu9mRSz2
Donald Trump,47:53:00,For cocaine use. And he didn’t have a job until you became vice president.,1st Presidential Debate 2020,suxzcrj5Z2
Joe Biden,47:56:00,None of that is true.,1st Presidential Debate 2020,fHfF2gTRjB
Donald Trump,47:56:00,"Once you became vice president he made a fortune in Ukraine, in China, in Moscow and various other places.",1st Presidential Debate 2020,g49ySvLO4C
Joe Biden,48:01:00,That is not true.,1st Presidential Debate 2020,l8t9PQcyZj
Donald Trump,48:04:00,He made a fortune and he didn’t have a job.,1st Presidential Debate 2020,OEn9xt9KA1
Joe Biden,48:07:00,"My son like a lot of people at home had a drug problem. He’s overtaking it. He’s fixed it. He’s worked on it. And I’m proud of him, I’m proud of my son.",1st Presidential Debate 2020,LO9Xh0iGYr
Donald Trump,48:17:00,But why was he given tens of millions of dollars?,1st Presidential Debate 2020,CYmInlIMj9
Joe Biden,48:19:00,He wasn’t given tens of millions of dollars. [crosstalk 00:48:23] It was all discredited.,1st Presidential Debate 2020,36eTEusv4p
Chris Wallace,48:27:00,"We’ve already been through this. I think the American people would rather hear about more substantial subjects. Well, as the moderator, sir, I’m going to make a judgment call here.",1st Presidential Debate 2020,C0v6e0pzTq
Donald Trump,48:35:00,I know but when somebody gets three and a half million dollars from the Mayor of Moscow.,1st Presidential Debate 2020,vuyrF0UIAV
Joe Biden,48:39:00,That is not true. That report is totally discredited.,1st Presidential Debate 2020,pgshwvvZG4
Donald Trump,48:43:00,Why did he get it?,1st Presidential Debate 2020,DqLtpgIOjk
Joe Biden,48:45:00,Mitt Romney on that committee said it wasn’t worth taxpayer’s money. That report was written for political reason.,1st Presidential Debate 2020,pnHHImAV2D
Chris Wallace,48:50:00,I’d like to talk about climate change.,1st Presidential Debate 2020,9n2ZcEVzWR
Joe Biden,48:52:00,So would I.,1st Presidential Debate 2020,faIFqht4kS
Chris Wallace,48:53:00,"Okay. The forest fires in the West are raging now. They have burned millions of acres. They have displaced hundreds of thousands of people. When state officials there blamed the fires on climate change. Mr. President, you said, I don’t think the science knows. Over your four years, you have pulled the US out of the Paris Climate Accord. You have rolled back a number of Obama Environmental records, what do you believe about the science of climate change and what will you do in the next four years to confront it?",1st Presidential Debate 2020,gNbspOvhCf
Donald Trump,49:27:00,"I want crystal clean water and air. I want beautiful clean air. We have now the lowest carbon… If you look at our numbers right now, we are doing phenomenally. But I haven’t destroyed our businesses. Our businesses aren’t put out of commission. If you look at the Paris Accord, it was a disaster from our standpoint. And people are actually very happy about what’s going on because our businesses are doing well. As far as the fires are concerned, you need forest management. In addition to everything else, the forest floors are loaded up with trees, dead trees that are years old and they’re like tinder and leaves and everything else. You drop a cigarette in there the whole forest burns down. You’ve got to have forest management.",1st Presidential Debate 2020,cjjclBzQBm
Chris Wallace,50:09:00,"What do you believe about the science of climate change, sir?",1st Presidential Debate 2020,4xGBqe812P
Donald Trump,50:13:00,"I believe that we have to do everything we can to have immaculate air immaculate water and do whatever else we can that’s good. We’re planting a billion trees, the Billion Tree Project and it’s very exciting for a lot of people.",1st Presidential Debate 2020,NIyij9ZP6F
Chris Wallace,50:25:00,"You believe that human pollution, gas, greenhouse gas emissions contributes to the global warming of this planet.",1st Presidential Debate 2020,R2VzNnfgJ4
