"text","cmp_code","eu_code"
"and use early and ongoing consultation to identify and work to appropriately mitigate or address concerns.","607.3",NA
"Democrats recognize that self-governance and self-determination empowers Tribes to prioritize their needs and plan for the future consistent with their distinct traditions, economies, and institutions.","607.3",NA
"Recognizing the success many Tribes have had with self-governance, we will work to make it more effective within the Bureau of Indian Affairs and encourage other federal agencies to negotiate such agreements with Tribes.","607.3",NA
"Consistent with the policies of the Obama-Biden Administration, Democrats will make permanent the White House Council on Native American Affairs","607.3",NA
"and commit to holding an annual White House Tribal Nations Conference.","607.3",NA
"We will nominate federal judges who understand Indian law,","607.3",NA
"and will ensure Native Americans and Alaska Natives are appointed to high-level and leadership positions within the federal government.","607.3",NA
"Over 70 percent of Native Americans live off-reservation.","607.3",NA
"Democrats will create a strategy to support urban Indian populations and ensure their voices are heard and no one is left behind,","607.3",NA
"including by expanding support to access quality health care, culturally relevant education, affordable housing, and other programs.","607.3",NA
"46 Democrats also support efforts for self-governance and self-determination of Native Hawaiians.","607.3",NA
"Native Hawaiians are the Indigenous, aboriginal people of Hawai’i whose values and culture are the foundation of the Hawaiian Islands.","607.3",NA
"We support proactive actions by the federal government to enhance Native Hawaiian culture, housing, health, language, and education.","607.3",NA
"We recognize and honor the contributions and sacrifices made in service to our country by Native Hawaiians.","607.3",NA
"Ending Violence Against Women","H",NA
"Democrats are committed to ending sexual assault, domestic abuse, and other violence against women.","605.1",NA
"We will act swiftly to overcome Republican obstructionism and reauthorize and expand the Violence Against Women Act to better protect Native American women, women with disabilities, children and young women, transgender women and other LGBTQ+ people, and other groups who are disproportionately affected by sexual assault and domestic abuse.","605.1",NA
"Democrats will expand services for survivors of violence against women, including by expanding access to housing, legal assistance, and victim advocate services.","504",NA
"We will support danger assessment and lethality training for law enforcement officers and community partners to help curb domestic violence homicides.","605.1",NA
"We recognize that sex workers, who are disproportionately women of color and transgender women, face especially high rates of sexual assault and violence,","503",NA
"and we will work with states and localities to protect the lives of sex workers.","201.2",NA
"We will enforce and provide tools and resources for schools to implement Title IX, which requires schools and institutions of higher education to properly investigate sexual misconduct, including peer-on-peer sexual harassment and violence; take appropriate action; and prevent future sexual misconduct.","506",NA
"Democrats will increase resources to eliminate the national backlog of untested rape kits so that more survivors can see justice be served.","605.1",NA
"And we will support federal and state legislative efforts to make “revenge porn” and other unauthorized disclosures of intimate images a civil and criminal offense.","605.1",NA
"Ending the Epidemic of Gun Violence","H",NA
"Gun violence is a public health crisis in the United States.","605.1",NA
"Over 100,000 people are shot and nearly 40,000 people die annually from guns—devastating countless families, friends, and communities.","605.1",NA
"We can and will make gun violence a thing of the past.","605.1",NA
"Addressing the gun violence crisis requires supporting evidence-based programs that prevent gun deaths from occurring in the first place,","605.1",NA
"including by making mental health care more accessible","504",NA
"and supporting suicide reduction initiatives,","504",NA
"funding interventions to reduce homicides and gun violence in neighborhoods,","605.1",NA
"and strengthening protections against domestic violence.","605.1",NA
"Democrats will also ensure the Centers for Disease Control and Prevention have sufficient resources to study gun violence as a public health issue, including the ongoing health care, mental health, economic, and social costs that can affect survivors and their families for years.","504",NA
"Democrats will enact universal background checks,","605.1",NA
"end online sales of guns and ammunition,","605.1",NA
"close dangerous loopholes that currently allow stalkers, abusive partners, and some individuals convicted of assault or battery to buy and possess firearms,","605.1",NA
"and adequately fund the federal background check system.","605.1",NA
"We will close the “Charleston loophole” and prevent individuals who have been convicted of hate crimes from possessing firearms.","605.1",NA
"Democrats will ban the manufacture and sale of assault weapons and high capacity magazines.","605.1",NA
"We will incentivize states to enact licensing requirements for owning firearms","605.1",NA
"and extreme risk protection order laws that allow courts to temporarily remove guns from the possession of those who are a danger to themselves or others.","605.1",NA
"We will pass legislation requiring that guns be safely stored in homes.","605.1",NA
"And Democrats believe that gun companies should be held responsible for their products, just like any other business,","403",NA
"and will prioritize repealing the law that shields gun manufacturers from civil liability.","403",NA
"Supporting Faith and Service","H",NA
"Religious freedom is a core American value","201.2",NA
"and a core value of the Democratic Party.","201.2",NA
"Democrats will protect the rights of each American for the free exercise of his or her own religion.","201.2",NA
"It will be the policy of the Democratic Administration to advocate for religious freedom throughout the world.","201.2",NA
"Democrats celebrate America’s history of religious pluralism and tolerance,","601.1",NA
"and recognize the countless acts of service of our faith communities,","603",NA
"as well as the paramount importance of maintaining the separation between church and state enshrined in our Constitution.","604",NA
"During the Trump Administration, too many of our religious communities have been victimized by acts of intolerance, bigotry, and violence.","603",NA
"We will reject the Trump Administration’s use of broad religious exemptions to allow businesses, medical providers, social service agencies, and others to discriminate.","604",NA
"Democrats will increase funding and support for security investments and protection at houses of worship, because everyone should be able to pray without fear.","605.1",NA
"We will confront white nationalist terrorism and combat hate crimes perpetrated against religious minorities.","605.1",NA
"Democrats also recognize that, to fully confront the legacy of systemic and structural racism, it is time to examine, confront and dismantle the government programs, policies and practices that have unfairly targeted American Muslims as security threats.","503",NA
"We condemn the decades-long campaign to demonize and dehumanize the Muslim faith community, which has led to increased rates of violence and discrimination targeting American Muslims or those perceived to be Muslim.","503",NA
"We will hold accountable those who engage in or enable violent or other illegal activity targeting religious minorities,","605.1",NA
"including by directing the federal government to address the growing and violent threat of white supremacist, neo-Nazi and anti-government groups.","605.1",NA
"Supporting Press Freedom","H",NA
"The free press is essential to our free democracy.","201.2",NA
"Democrats roundly reject President Trump’s denigration of the free and independent press, which has endangered reporters’ lives, helped fuel conspiracy theories, and deepened distrust between Americans and their government.","201.2",NA
"Democrats will appoint an independent media professional to head the U.S. Agency for Global Media, to ensure that the news and information projected around the world by the federal government meets the highest standards of fact-based and unbiased journalism.","201.2",NA
"Democrats are concerned about the potentially harmful effects of corporate consolidation in the media industry, including in television, radio, and newspapers,","403",NA
"and will reinstate and strengthen media ownership rules","403",NA
"and direct federal antitrust agencies to investigate the economic impacts of mergers in the media industry.","403",NA
"Supporting the Arts and Culture","H",NA
"The arts are essential to our free and democratic society, to our culture, and to our local economies.","502",NA
"Democrats are proud of our support for arts funding and education,","502",NA
"and will continue policies and programs that promote the creative arts.","502",NA
"We support public funding for the National Endowment for the Arts,","502",NA
"the National Endowment for the Humanities,","502",NA
"and for art and music education in public schools.","506",NA
"We recognize that federal grants supporting nonprofit cultural organizations, artists, scholars,","502",NA
"and state and local governments help increase participation in the arts, enhance appreciation, and strengthen our nation's cultural heritage.","502",NA
"We value the arts and art education for developing imagination, creativity, innovation, and critical thinking skills in students","502",NA
"and for building bridges between people and communities across the country and around the world.","502",NA
"COMBATING THE CLIMATE CRISIS AND PURSUING ENVIRONMENTAL JUSTICE","H",NA
"Climate change is a global emergency.","501",NA
"We have no time to waste in taking action to protect Americans’ lives and futures.","501",NA
"The last four years have seen record-breaking storms, devastating wildfires, and historic floods.","501",NA
"Urban and rural communities alike have suffered tens of billions of dollars in economic losses.","501",NA
"Dams have failed catastrophically in Michigan.","501",NA
"Farmers’ crops have been drowned in their fields across the Midwest.","703.1",NA
"Coastal communities from Florida to New Jersey are facing an existential crisis as a result of sea level rise and stronger storms.","501",NA
"Thousands of Americans have died.","501",NA
"And President Trump still callously and willfully denies the science that explains why so many are suffering.","305.2",NA
"Like so many crises facing the United States, the impacts of climate change are not evenly distributed in our society or our economy.","503",NA
"Communities of color, low-income families, and Indigenous communities have long suffered disproportionate and cumulative harm from air pollution, water pollution, and toxic sites.","503",NA
"From Flint, Michigan, to the Navajo Nation, to Lowndes County, Alabama, millions of Americans have been denied access to clean, safe drinking water and even the most basic wastewater infrastructure.","411",NA
"Pacific Islanders in Hawaii, Guam, American Samoa, and the Commonwealth of the Northern Mariana Islands are losing their traditional way of life as sea level rise submerges their homelands.","501",NA
"And although the youngest generations of Americans have contributed the least to this calamity, they stand to lose the most as they suffer from the impacts of runaway carbon pollution for decades to come.","501",NA
"Democrats believe there is a better way.","305.1",NA
"We can and must build a thriving, equitable, and globally competitive clean energy economy that puts workers and communities first and leaves no one behind.","416.2",NA
"We will help rebuild our economy from the COVID-19 pandemic and President Trump’s recession by mobilizing historic, transformative public and private investments to launch a clean energy revolution.","416.2",NA
"We applaud the organizing efforts of young people, union workers, and communities of color to mobilize voters and make the climate crisis a top priority.","501",NA
"As Democrats, we believe the scientists: the window for unprecedented and necessary action is closing, and closing fast.","305.1",NA
"Democrats reject the false choice between growing our economy and combating climate change;","416.2",NA
"we can and must do both at the same time.","416.2",NA
"We will use federal resources and authorities across all agencies to deploy proven clean energy solutions;","416.2",NA
"create millions of family-supporting and union jobs;","701",NA
"upgrade and make resilient our energy, water, wastewater, and transportation infrastructure;","411",NA
"and develop and manufacture next-generation technologies to address the climate crisis right here in the United States.","411",NA
"And we will do all this with an eye to equity, access, benefits, and ownership opportunities for frontline communities—","503",NA
"because Democrats believe we must embed environmental justice, economic justice, and climate justice at the heart of our policy and governing agenda.","305.1",NA
"We will take immediate action to reverse the Trump Administration’s dangerous and destructive rollbacks of critical climate and environmental protections.","501",NA
"We will rejoin the Paris Climate Agreement","501",NA
"and, on day one, seek higher ambition from nations around the world,","107",NA
"putting the United States back in the position of global leadership where we belong.","601.1",NA
"We will restore protections for irreplaceable public lands and waters, from Bears Ears National Monument to the Arctic National Wildlife Refuge.","501",NA
"We will follow science and the law by reducing harmful methane and carbon pollution from the energy sector.","501",NA
"Democrats will make investments to create millions of family-supporting and union jobs in clean energy generation, energy efficiency, clean transportation, advanced manufacturing, and sustainable agriculture across America.","701",NA
"All jobs in the clean energy economy should provide an opportunity to join a union.","701",NA
"Democrats will restore and protect workers’ rights to organize and bargain collectively.","701",NA
"The clean energy economy must represent the diversity of America.","503",NA
"We will invest in the education and training of underrepresented groups, including people of color, low-income Americans, women, veterans, people with disabilities, and unemployed energy workers for jobs in clean energy-related industries,","503",NA
"especially union jobs that provide strong opportunities for economic advancement.","701",NA
"Democrats will target relevant investments with the goal of delivering 40 percent of the overall benefits to disadvantaged and frontline communities, including in clean energy and energy efficiency; clean transit and transportation; affordable and sustainable housing; remediation and reduction of legacy pollution; and critical clean water infrastructure.","503",NA
"Democrats will also mobilize a diverse new generation of young workers through a corps and cohort challenged to conserve our public lands;","501",NA
"deliver new clean energy,","416.2",NA
"including to low-income communities and communities of color;","503",NA
"and address the changing climate, including through pre-apprenticeship opportunities, joint labor-management registered apprenticeships for training, and direct-hire programs","701",NA
"that put good-paying and union jobs within reach for more Americans.","701",NA
"Black, Latino, and immigrant workers are often on the front lines of disaster relief work with limited worker protections.","503",NA
"Democrats will invest in this critical workforce,","701",NA
"supporting the creation of family-supporting and union jobs in disaster response and climate resilience,","701",NA
"with strong labor standards and worker protections, including good wages, benefits, access to paid leave, training and advancement opportunities.","701",NA
"We agree with scientists and public health experts that the United States—and the world—must achieve net-zero greenhouse gas emissions as soon as possible, and no later than 2050.","501",NA
"To reach net-zero emissions as rapidly as possible, Democrats commit to eliminating carbon pollution from power plants by 2035 through technology-neutral standards for clean energy and energy efficiency.","501",NA
"We will dramatically expand solar and wind energy deployment through community-based and utility-scale systems, including in rural areas.","416.2",NA
"Within five years, we will install 500 million solar panels, including eight million solar roofs and community solar energy systems,","501",NA
"and 60,000 wind turbines,","501",NA
"and turn American ingenuity into American jobs by leveraging federal policy to manufacture renewable energy solutions in America.","416.2",NA
"Recognizing the urgent need to decarbonize the power sector, our technology-neutral approach is inclusive of all zero-carbon technologies, including hydroelectric power, geothermal, existing and advanced nuclear, and carbon capture and storage.","501",NA
"Democrats believe that any clean energy infrastructure project financed with federal support, including through the tax code, should come with robust wage and labor requirements.","701",NA
"We will build a modern electric grid by investing in interstate transmission projects and advanced, 21st century grid technologies to power communities with clean electricity,","411",NA
"including federal support to build sustainable and resilient energy grids in rural America and in Tribal areas lacking energy infrastructure.","411",NA
"We will reduce methane pollution through strong federal standards and targeted support for repairing and replacing aging distribution systems,","411",NA
"which will create hundreds of thousands of jobs,","701",NA
"including for the same pipefitters, insulators, and other workers who built the systems in the first place and who know best how to protect our communities from methane pollution.","701",NA
"Democrats will lower families’ energy bills by making energy-saving upgrades to up to two million low-income households and affordable and public housing units within five years,","504",NA
"creating hundreds of thousands of jobs","701",NA
"and promoting safe, healthy, and efficient homes.","504",NA
"We will ensure investments in affordable housing and public housing support both energy efficiency retrofits and construction of new units, to greatly increase the number of energy-efficient homes available to low-income families.","416.2",NA
"We will address barriers and increase funding for programs that enable energy efficiency improvements for low-income families in urban and rural areas,","504",NA
"including through the Weatherization Assistance Program","504",NA
"and the Rural Utilities Service,","504",NA
"and incentivize landlords to make energy efficiency and clean energy upgrades that will reduce their tenants’ energy costs.","416.2",NA
"We will set a bold, national goal of achieving net-zero greenhouse gas emissions for all new buildings by 2030, on the pathway to creating a 100 percent clean building sector.","501",NA
"Within five years, we will incentivize tens of billions of dollars in private-sector investment to retrofit four million buildings,","402",NA
"including helping local governments save money and cut pollution by weatherizing and upgrading energy systems in hospitals, schools, public housing, and municipal buildings.","416.2",NA
"Democrats will encourage states and cities to adopt energy-efficient building codes,","416.2",NA
"address barriers to energy efficiency upgrades,","416.2",NA
"incentivize the adoption of efficient electric and geothermal pump home heating solutions that can help reduce families’ energy burden,","416.2",NA
"and leverage the federal footprint to model net-zero and 100 percent clean energy building solutions.","416.2",NA
"Democrats affirm California’s statutory authority under the Clean Air Act to set its own emissions standards for cars and trucks.","501",NA
"We will immediately convene California and other states with labor, auto industry, and environmental leaders to inform ambitious executive actions that will enable the United States to lead the way in building a clean, 21st century transportation system","416.2",NA
"and stronger domestic manufacturing base for electric vehicles","410",NA
"powered by high-wage and union jobs.","701",NA
"Democrats will move quickly to reestablish strong standards for clean cars and trucks that consider the most recent advances in technology,","411",NA
"and accelerate the adoption of zero-emission vehicles in the United States","501",NA
"while reclaiming market share for domestically produced vehicles.","406",NA
"We will reduce harmful air pollution and protect our children’s health by transitioning the entire fleet of 500,000 school buses to American-made, zero-emission alternatives within five years.","501",NA
"We will lead by example in the public sector by transitioning the three million vehicles in the federal, state, and local fleets to zero-emission vehicles.","501",NA
"Democrats will additionally support private adoption of affordable low-pollution and zero-emission vehicles by partnering with state and local governments to install at least 500,000 public charging stations from coast to coast.","411",NA
"We will increase investments in public transportation,","411",NA
"understanding that the United States currently lags behind many other developed countries in the quality and availability of efficient and accessible public transportation.","602.1",NA
"Democrats will aim to provide all Americans in municipalities with 100,000 or more residents with quality public transportation options","411",NA
"by making flexible federal investments to upgrade and expand light rail, bus lines, existing transit systems,","411",NA
"and pedestrian and bicycle infrastructure.","411",NA
"Democrats will invest in modernizing our freight infrastructure, including ports, rail, and maritime freight,","411",NA
"in order to reduce air and water pollution,","501",NA
"improve public health,","416.2",NA
"create jobs,","701",NA
"and improve economic competitiveness.","410",NA
"Democrats believe we can build the clean energy infrastructure of the future using American-made materials.","601.1",NA
"We will support measures to build a clean, equitable, and globally competitive manufacturing sector,","410",NA
"including national Buy Clean and Buy America standards to incentivize production of low-carbon building and construction materials, like steel, cement, and timber, here in the United States.","406",NA
"We will apply a carbon adjustment fee at the border to products from countries that fail to live up to their commitments under the Paris Climate Agreement,","406",NA
"because we won’t let polluters undermine American competitiveness.","406",NA
"Democrats will partner with farmers to make the American agriculture sector the first in the world to achieve net-zero emissions,","703.1",NA
"opening up new sources of income for farmers in the process.","703.1",NA
"We will substantially improve water security and ecological health through conservation, protection, and maintenance of our water infrastructure, including water systems for home, commercial, industrial, and agricultural use.","411",NA
"We will expand federal programs to help farmers, ranchers, and forest landowners pursue high-productivity, lower-emission, and regenerative agricultural practices","703.1",NA
"in order to help build more resilient, vibrant, local and regional food systems.","703.1",NA
"We will substantially increase investments in voluntary conservation programs,","501",NA
"which generate economic and environmental benefits for farmers and their surrounding communities.","703.1",NA
"We will support healthy coastal communities and marine ecosystems to sustain and enhance our economic well-being,","501",NA
"including in the fishing,","502",NA
"tourism","502",NA
"and clean energy industries.","416.2",NA
"And we will support communities and businesses nationwide in their efforts to build zero-waste and circular economies, including efforts to eliminate plastic waste and food waste.","416.2",NA
"Every American has the right to breathe clean air, drink clean water, and live without fear of exposure to toxic waste.","503",NA
"And all Americans should benefit from the clean energy economy—especially those who have been left out and left behind for generations.","503",NA
"Democrats will create an environmental justice fund to make historic investments aimed at eliminating legacy pollution, which disproportionately causes illness and premature death in communities of color, low-income communities, and Indigenous communities.","503",NA
"We will protect children’s health by replacing lead service lines and remediating lead paint in homes and schools;","411",NA
"remediate Superfund and other contaminated sites;","501",NA
"and ensure housing and schools have adequate plumbing and safe wastewater disposal systems.","411",NA
"Democrats oppose the Trump Administration's reckless and scientifically unsound decision to reverse a proposed ban on chlorpyrifos, a potent neurotoxin proven harmful to children and farmworkers.","703.1",NA
"We will invest to help farmers reduce pesticide and chemical fertilizer use.","703.1",NA
"And we will set science-based drinking water standards for emerging contaminants like PFOA and PFAS chemicals","411",NA
"and establish aggressive plans for remediating this dangerous pollution.","501",NA
"Energy companies should be held responsible for meeting strong standards to protect worker safety,","701",NA
"public health,","416.2",NA
"and the environment.","501",NA
"Democrats are committed to ensuring tough safeguards in place, including Safe Drinking Water Act provisions, to protect local water supplies.","501",NA
"We believe states should not be able to preempt local government decisions about energy production.","416.2",NA
"Democrats will work with affected frontline communities to develop a screening and mapping tool to ensure racial and socioeconomic equity in federal climate, energy, and infrastructure programs","503",NA
"and identify areas of high cumulative pollution that threatens residents’ health and safety.","501",NA
"We will help reduce heat stress in urban neighborhoods by planting millions of trees.","416.2",NA
"We will support locally-driven economic development","410",NA
"a nd commit to directing a significant portion of clean energy and sustainable infrastructure investments to historically marginalized communities","503",NA
"to help create local jobs","701",NA
"and reduce energy poverty,","416.2",NA
"install clean energy technologies including community solar,","416.2",NA
"build resilience to climate change impacts,","501",NA
"prepare for disasters,","501",NA
"expand access to green space and outdoor recreation opportunities,","501",NA
"improve public health,","504",NA
"and restore ecosystems.","501",NA
"Already, the impacts of climate change are being felt in communities across the country, and the American people are paying the price.","501",NA
"Democrats commit to reducing climate risks","501",NA
"and building back better after disasters and climate-fueled catastrophes in a resilient, green, and just manner.","501",NA
"We will empower local communities to become more resilient to the impacts of the climate crisis.","501",NA
"We will prioritize disaster preparedness for disproportionately exposed, frontline, and vulnerable communities and those who struggle most to cope, including seniors, low-income families, and people with disabilities,","503",NA
"so that they can become more economically resilient to extreme weather events, heat stress, and increases in disease that scientists have connected to climate change.","501",NA
"We will rectify the inequities and inefficiencies of disaster response,","503",NA
"including transparent and timely reporting and oversight","303",NA
"and protections and enforcement of disability rights.","503",NA
"Democrats will ensure FEMA has the experienced leadership, staff, and resources necessary to coordinate the federal response to climate change-influenced and other disasters,","501",NA
"and is equipped to work in partnership with, and drive federal resources to, state, local, Tribal, and territorial governments to mount a successful emergency response in conjunction with local emergency responders,","301",NA
"help communities recover and rebuild,","416.2",NA
"and invest in pre-disaster mitigation and resilience.","501",NA
"We will increase support for restoring wetlands, which are critical for protecting communities from sea level rise and storm surge and also act as natural carbon sinks.","501",NA
"We will partner with states and local communities to make smart investments to avoid the loss of life and property, prevent flooding, mitigate disaster risks, and adapt to costly, growing climate impacts.","501",NA
"Democrats recognize that climate change poses serious risks to the economy and the financial system.","501",NA
"We will require public companies to disclose climate risks and greenhouse gas emissions in their operations and supply chains.","403",NA
"We will hold polluters and corporate executives accountable for intentionally hiding or distorting material information","403",NA
"and for affecting the health and safety of workers and communities.","416.2",NA
"Democrats will empower and stand with workers and communities who have put their health and lives on the line and who have been impacted by the changing energy market,","701",NA
"including by fighting to protect retirees’ health and pension benefits,","701",NA
"shoring up the Black Lung Disability Trust Fund,","701",NA
"expanding the Radiation Exposure Compensation Act to include those harmed by our nation’s nuclear weapons efforts","701",NA
"including uranium miners exposed to radiation on the job,","701",NA
"and increasing funding for the Appalachian Regional Commission to support locally-driven economic development priorities.","410",NA
"We will hold fossil fuel companies accountable for cleaning up abandoned mine lands, oil and gas wells, and industrial sites, so these facilities no longer pollute local environments","501",NA
"and can be safely repurposed to support new economic activity, including in the heart of coal country.","410",NA
"Democrats will support the most historically far reaching public investments and private sector incentives for research, development, demonstration,","411",NA
"and deployment of next-generation technologies,","411",NA
"once again making the United States the world’s leader in innovation.","411",NA
"We will challenge the best and brightest scientists, innovators, and entrepreneurs in the world to pursue breakthrough opportunities in energy storage, heavy-duty trucking and freight solutions, sustainable aviation fuels, and direct air capture and net-negative emissions technologies.","416.2",NA
"We will advance innovative technologies that create cost-effective pathways for industries to decarbonize,","410",NA
"including carbon capture and sequestration that permanently stores greenhouse gases","416.2",NA
"and advanced nuclear that eliminates waste associated with conventional nuclear technology,","416.2",NA
"while ensuring environmental justice and other overburdened communities are protected from increases in cumulative pollution.","501",NA
"All of these investments will create jobs for blue-collar workers, including in fenceline communities,","701",NA
"help decarbonize American industries,","416.2",NA
"and create valuable new exports to help mitigate climate change around the world.","416.2",NA
"America’s national parks and monuments, public lands, and marine protected areas are treasures that should be held in trust for future generations.","501",NA
"We will protect these precious places","501",NA
"and preserve America’s unspoiled wildernesses for hunting, fishing, hiking, and camping by codifying the roadless rule,","502",NA
"and grow America’s outdoor recreation economy,","410",NA
"which supports millions of jobs in rural areas.","701",NA
"Democrats will immediately reverse the Trump Administration’s harmful rollbacks of protections for national monuments like Grand Staircase-Escalante National Monument and Northeast Canyons and Seamounts Marine National Monument.","501",NA
"We support banning new oil and gas permitting on public lands and waters,","501",NA
"modifying royalties to account for climate costs,","501",NA
"and establishing targeted programs to enhance reforestation and develop renewables on federal lands and waters.","501",NA
"We will take action to protect wildernesses and waters,","501",NA
"and require full, rigorous, and transparent scientific and environmental reviews of any proposed mining projects near national treasures.","501",NA
"Democrats will protect wildlife habitats and biodiversity,","501",NA
"slow extinction rates,","501",NA
"and grow America’s natural carbon sinks by conserving 30 percent of our lands and waters by 2030.","501",NA
"We support fully funding the Land and Water Conservation Fund to increase resources for conserving public lands and waters","501",NA
"and incentivizing voluntary conservation efforts on private lands, including through private-sector ecosystems markets.","501",NA
"And Democrats will ensure America’s public lands and waters reflect the diversity of our country by engaging all Americans in the great outdoors,","503",NA
"building a diverse workforce in our land management agencies,","503",NA
"and protecting landscapes, marinescapes, and cultural sites that tell the full story of America.","501",NA
"RESTORING AND STRENGTHENING OUR DEMOCRACY","H",NA
"Our government and our elections are supposed to reflect the interests of the American people, not only the wealthiest few and the biggest corporations.","503",NA
"Democrats will fight to restore and protect Americans’ fundamental right to vote,","202.1",NA
"including by aggressively pushing back against Republican governors, legislatures, and state officials who have disenfranchised people of color, young people, low-income people, and people with disabilities.","202.1",NA
"And we will strictly enforce ethics laws","202.1",NA
"and improve transparency across the federal government in order to rebuild trust with the American people,","202.1",NA
"and will protect civil servants and whistleblowers from political retribution.","202.1",NA
"Protecting and Enforcing Voting Rights","H",NA
"Democrats are committed to the sacred principle of “one person, one vote”","202.1",NA
"—and we will fight to achieve that principle for every citizen, regardless of race, income, disability status, geography, or English language proficiency.","202.1",NA
"We stand united against the determined Republican campaign to disenfranchise voters through onerous voter ID laws,","202.1",NA
"unconstitutional and excessive purges of the voter rolls,","202.1",NA
"and closures of polling places in low-income neighborhoods, on college campuses, and in communities of color.","202.1",NA
"Americans should never have to wait in hours-long lines to exercise their voting rights.","202.1",NA
"Democrats will strengthen our democracy by guaranteeing that every American’s vote is protected.","202.1",NA
"We will make it a priority to pass legislation that restores and strengthens the Voting Rights Act,","202.1",NA
"and ensure the Department of Justice challenges state laws that make it harder for Americans to vote.","202.1",NA
"We will make voting easier and more accessible for all Americans by supporting automatic voter registration,","202.1",NA
"same-day voter registration,","202.1",NA
"early voting,","202.1",NA
"and universal vote-from-home and vote-by-mail options.","202.1",NA
"Democrats believe Election Day should be a national holiday, in celebration of our democratic institutions","202.1",NA
"and to make it easier for everyone to cast their ballot.","202.1",NA
"Democrats recognize that unions, community groups, faith organizations and other civic organizations are critical to facilitating registration, encouraging voting, and protecting voter rights.","202.1",NA
"We will fully implement the Help America Vote Act","202.1",NA
"and require that polling places and elections are accessible for people with disabilities,","503",NA
"and work to ensure that returning citizens have their voting rights restored upon release from jail or prison without the additional hurdle of having to pay fines and fees in order to vote.","202.1",NA
"Democrats will also fight for emergency funding for states to help make vote-from-home and vote-by-mail universally available during the pandemic,","202.1",NA
"while ensuring that all jurisdictions take steps to ensure continued meaningful, safe opportunities to vote in person.","202.1",NA
"We recognize that the United States Postal Service is more than ever a critical component to our democracy","202.2",NA
"and must be supported to guarantee timely and efficient delivery and return of vote by mail ballots.","202.1",NA
"Election officials must be provided with sufficient time after election day to process, count, and audit all ballots.","202.1",NA
"We must give voters the confidence that their ballot was counted as cast by supporting mandatory, statistically meaningful post-election audits","202.1",NA
"and full transparency of all election results and data.","202.1",NA
"To ensure every eligible ballot is counted, vote by mail voters must be informed of and provided a meaningful opportunity to fix any problem with their ballot.","202.1",NA
"A professional and well-trained election workforce is critical to the administration of elections,","202.1",NA
"we support ongoing federal and state funding for local elections offices.","202.1",NA
"Gerrymandering distorts our democracy,","202.1",NA
"and Democrats will enact measures to end partisan gerrymandering in federal elections.","202.1",NA
"Efforts to redraw legislative districts following the 2020 Census must be guided by transparency and public input, while reducing the power of partisan actors,","202.1",NA
"so that maps reflect the will of voters,","202.1",NA
"fairly represent communities of color,","503",NA
"and provide for competitive races.","202.1",NA
"We will protect the integrity of the decennial Census from political interference,","202.1",NA
"including ensuring that apportionment and redistricting be based on total population counts,","202.1",NA
"and also ensure the Census Bureau is equipped to conduct cost-effective, timely, and accurate surveys.","303",NA
"Democrats will maintain the legal requirement for Census participation","202.1",NA
"and increase resources to reduce undercounts of communities of color, immigrants, LGBTQ+ people, people with disabilities, rural and low-income populations, and young children that have long plagued the decennial Census.","503",NA
"We will also direct the Census Bureau to study whether counting the prison population where they are incarcerated creates inequitable outcomes in state or federal representation or funding allocations.","503",NA
"Democrats will increase investments to help state and local governments upgrade election technology, including cybersecurity technology,","202.1",NA
"and ensure that election technology is accessible for people with disabilities.","503",NA
"Democrats will also increase oversight of private election vendors to ensure voting systems are secure and worthy of voters' trust.","202.1",NA
"We will not tolerate election interference","304",NA
"and will protect the integrity of our elections from all enemies, foreign and domestic.","304",NA
"Reforming the Broken Campaign Finance System","H",NA
"Democrats believe that the interests and the voices of the American people should determine our elections.","202.1",NA
"Money is not speech, and corporations are not people.","304",NA
"Democrats will fight to pass a Constitutional amendment that will go beyond merely overturning Citizens United and related decisions like Buckley v. Valeo by eliminating all private financing from federal elections.","304",NA
"In the meantime, Democrats will work with Congress on legislation to strengthen the public funding system by matching small-dollar donations for all federal candidates,","202.1",NA
"crack down on foreign nationals who try to influence elections,","103.2",NA
"and ensure that super PACs are wholly independent of campaigns and political parties.","304",NA
"We will bring an end to “dark money” by requiring full disclosure of contributors to any group that advocates for or against candidates,","304",NA
"and bar 501(c)(4) organizations from spending money on elections.","304",NA
"Democrats will ban corporate PACs from donating to candidates","304",NA
"and bar lobbyists from donating, fundraising, or bundling for anyone they lobby.","304",NA
"Building an Effective, Transparent Federal Government","H",NA
"Every federal employee swears an oath to support and defend the Constitution.","601.1",NA
"It is a sacred promise to the American people—that federal workers, both civil servants and political appointees, will put the interests of the many ahead of their own personal concerns.","601.1",NA
"President Trump and his Administration have abused the trust between the American people and their government—including by denigrating civil servants, directing federal grants and contracts toward their cronies and political donors, inappropriately interfering with federal investigations and firing independent watchdogs, retaliating against whistleblowers, failing to share information as required with Congress, and, most nefariously, violating the law by withholding congressionally appropriated funds in an attempt to get a foreign government to interfere in America’s elections.","304",NA
"Democrats will establish a commission on federal ethics to aggressively enforce and strengthen federal ethics laws, including rules around personal financial disclosures for Executive Branch officials,","304",NA
"and make campaign finance, financial disclosure, and lobbying disclosure filings easier for the public to access and understand.","202.1",NA
"We support requiring all candidates for federal office, including presidential candidates, to publicly disclose at least 10 years of tax returns.","202.1",NA
"The American people deserve assurances that their elected officials and federal appointees work for them, not for special interests.","202.1",NA
